NA,Wavelength_nm,Distance (m),Lval_um,Zone calcul,RoC_mm,FinalPower,db/m,PowerAfterInsertion
0.0779,1000,0.01,55,38.8908729652601,27.5,0.99987303363216,0.0839207896803317,0.999969643411674
0.0779,1000,0.1,55,38.8908729652601,27.5,0.998156381054396,0.0829714295323012,0.999969643337552
0.0779,1060,0.01,55,38.8908729652601,27.5,0.999648158874516,0.23713622622749,0.999921113245389
0.0779,1060,0.1,55,38.8908729652601,27.5,0.995032729296236,0.224039217464254,0.999921113454839
0.0779,1120,0.01,55,38.8908729652601,27.5,0.999131768070487,0.592809131909607,0.999813904991726
0.0779,1120,0.1,55,38.8908729652601,27.5,0.987824586248159,0.551509590740955,0.999813904779195
0.0779,1180,0.01,55,38.8908729652601,27.5,0.998061646517286,1.32290523803393,0.999582903428276
0.0779,1180,0.1,55,38.8908729652601,27.5,0.972842621991191,1.2396031551741,0.999582903593527
x
0,0,0,0,0,0,0,0,0
